fecha,cuenta,concepto,rfc,cargo,abono,saldo
2026-01-02,4100,Cobro de cliente,BMX010203AB1,0.00,87123.83,2412876.17
2026-01-02,5200,Mantenimiento,PQR170418PQ7,11556.05,0.00,2424432.22
2026-01-02,5500,Publicidad,YZA230724YZ0,4664.74,0.00,2429096.96
2026-01-03,5400,Arrendamiento,PQR170418PQ7,22680.95,0.00,2451777.91
2026-01-04,4100,Cobro de cliente,GHI101112GH4,0.00,75357.72,2376420.19
2026-01-05,5600,Servicios tecnológicos,GHI101112GH4,55806.10,0.00,2432226.29
2026-01-05,5600,Servicios tecnológicos,KLM010203KL5,45163.32,0.00,2477389.61
2026-01-06,4100,Cobro de cliente,GHI101112GH4,0.00,29834.34,2447555.27
2026-01-07,5500,Publicidad,HIJ311132HI4,9214.77,0.00,2456770.04
2026-01-07,5600,Servicios tecnológicos,PQR170418PQ7,60124.51,0.00,2516894.55
2026-01-07,5100,Servicios profesionales,TUV101112TU8,19023.07,0.00,2535917.62
2026-01-08,5600,Servicios tecnológicos,BCD250826BC1,75721.27,0.00,2611638.89
2026-01-08,5600,Servicios tecnológicos,VWX210622VW9,27005.02,0.00,2638643.91
2026-01-09,5500,Publicidad,BCD250826BC1,47545.90,0.00,2686189.81
2026-01-09,5100,Servicios profesionales,BMX010203AB1,54192.71,0.00,2740382.52
2026-01-09,5200,Mantenimiento,FGH291030FG3,36510.30,0.00,2776892.82
2026-01-09,5600,Servicios tecnológicos,MNO150316MN6,35804.77,0.00,2812697.59
2026-01-09,5200,Mantenimiento,WXY130214WX9,65606.76,0.00,2878304.35
2026-01-10,5300,Logística y transporte,GHI101112GH4,40578.09,0.00,2918882.44
2026-01-10,5600,Servicios tecnológicos,QRS070809QR7,56792.79,0.00,2975675.23
2026-01-10,4100,Cobro de cliente,WXY130214WX9,0.00,80921.02,2894754.21
2026-01-10,5300,Logística y transporte,WXY130214WX9,10485.23,0.00,2905239.44
2026-01-10,5000,Compra de insumos,WXY130214WX9,70475.03,0.00,2975714.47
2026-01-11,5000,Compra de insumos,BCD250826BC1,73578.66,0.00,3049293.13
2026-01-11,5500,Publicidad,BMX010203AB1,36305.36,0.00,3085598.49
2026-01-11,5500,Publicidad,STU190520ST8,37468.80,0.00,3123067.29
2026-01-12,5400,Arrendamiento,MNO150316MN6,27371.01,0.00,3150438.30
2026-01-13,5600,Servicios tecnológicos,BMX010203AB1,47592.40,0.00,3198030.70
2026-01-13,5600,Servicios tecnológicos,HIJ311132HI4,58192.58,0.00,3256223.28
2026-01-14,5500,Publicidad,FGH291030FG3,27642.62,0.00,3283865.90
2026-01-14,5100,Servicios profesionales,MNO150316MN6,53529.82,0.00,3337395.72
2026-01-14,5400,Arrendamiento,PQR170418PQ7,71692.48,0.00,3409088.20
